Step,Masked,Original,Random,
0,1.399999976,3.55191493,3.441666603,
1,8.945833206,11.91588593,12.38124943,
2,13.98541641,18.55613327,19.16900063,
3,21.37083244,23.38152885,23.13566589,
4,25.40441704,26.2287674,26.49816704,
5,27.26041603,28.88556671,29.83333206,
6,30.85624886,29.52959824,31.53174973,
7,32.36275101,32.1324234,33.50233459,
8,32.52991486,32.94032288,35.23225021,
9,35.7583313,35.03364182,35.45233154,
10,36.07108307,35.75427246,36.51508331,
11,36.85649872,36.00670624,37.00624847,
12,37.17575073,36.67206573,37.80208206,
13,37.02341461,36.97377777,37.60883331,
14,37.92158127,36.45227814,38.39008331,
15,38.48749924,36.74859238,38.77783203,
16,38.73199844,38.48830032,38.84583282,
17,39.49941635,37.39132309,39.95000076,
18,39.11275101,38.64412308,39.39400101,
19,39.69841766,38.42905426,40.61249924,
20,39.99166489,39.14768982,40.11666489,
21,38.24608231,38.97318268,40.72499847,
22,39.93774796,39.05108261,41.38750076,
23,40.21274948,40.36722183,41.74166489,
24,38.64791489,40.06084061,40.42708206,
25,39.77941513,39.63387299,41.68566513,
26,41.00441742,39.93158722,40.8125,
27,41.3734169,39.97287369,40.98125076,
28,40.83541489,40.67619705,41.73958206,
29,41.36116791,39.97357178,41.27600098,
30,48.89450073,47.85530472,48.85099792,
31,50.00749969,48.73510742,49.45074844,
32,50.18799973,49.37851715,50.09241486,
33,50.83174896,49.56698608,50.54058456,
34,50.95100021,49.78742218,50.65674973,
35,51.13824844,50.05386734,51.05258179,
36,50.97366714,50.54337311,50.95491791,
37,51.69474792,50.23234558,51.01558304,
38,51.77783203,50.48545456,51.26350021,
39,51.54816437,50.81711197,51.3405838,
40,51.93616486,50.33889389,51.55541611,
41,51.96533203,50.96494293,51.909832,
42,52.03224945,50.78913879,51.84708405,
43,52.05908203,50.98227692,51.69683456,
44,52.21191788,51.1154747,52.21741486,
45,52.39891434,50.98694611,52.06558228,
46,52.46141434,51.27934265,51.94058228,
47,52.48849869,51.19077682,51.77158356,
48,52.27833176,51.47845078,52.34708405,
49,52.5692482,51.67828369,52.37991714,
50,52.79475021,51.47180557,52.2155838,
51,52.84008408,51.31528091,52.11841583,
52,52.1843338,51.70558167,52.14266586,
53,53.19058228,52.06256485,52.30099869,
54,52.90699768,51.90606308,52.46816635,
55,52.46766663,52.07590103,52.74266434,
56,53.20283127,51.93800735,52.30358124,
57,53.07391739,51.52043533,52.31483459,
58,53.25099945,52.15047836,52.48199844,
59,53.07600021,52.24636459,52.69449997,
60,54.69291687,51.95464325,54.27366638,
61,54.79083252,51.62166214,54.33274841,
62,54.84083176,52.54143143,54.30099869,
63,54.87808228,52.58873367,54.43225098,
64,55.07416534,52.15579987,54.44058228,
65,55.00333405,52.35163879,54.50099945,
66,54.91166687,52.32296371,54.54316711,
67,54.96791458,52.40221405,54.56191635,
68,54.95124817,52.28702545,54.54524994,
69,55.06999969,52.21776581,54.53274918,
70,54.98249817,52.79985809,54.5676651,
71,55.06583405,52.42618942,54.58250046,
72,55.20958328,52.31569672,54.63274765,
73,55.13666534,52.87443542,54.61741638,
74,55.18458176,52.51615524,54.56033325,
75,55.12416458,52.43088531,54.72024918,
76,55.18875122,52.78319931,54.67024994,
77,55.11791611,52.83514786,54.66841507,
78,55.253582,52.38822556,54.72883224,
79,55.19474792,53.0123024,54.75774765,
80,55.36999893,52.67263031,54.7452507,
81,55.27208328,53.21745682,54.84316635,
82,55.30958176,53.22742081,54.7452507,
83,55.35774994,52.81316757,54.78066635,
84,55.38041687,53.27337646,54.84500122,
85,55.32833099,53.16947556,54.83274841,
86,55.26608276,53.16548157,54.80983353,
87,55.46791458,53.01564789,54.84916687,
88,55.29916763,54.67003632,54.82858276,
89,55.38666534,54.83587646,54.89916611,
90,55.56999969,54.99304962,55.05983353,
91,55.68666458,55.19018555,55.04524994,
92,55.65750122,55.07964325,55.02233124,
93,55.71374893,55.21351624,55.01816559,
94,55.64291763,55.18022156,55.07233429,
95,55.69291687,55.35003281,55.04108429,
96,55.69083405,55.08498764,55.12441635,
97,55.60541534,55.13024521,55.0577507,
98,55.69733429,55.29543686,55.05175018,
99,55.71608353,55.29211426,55.10774994,